,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems
248,960.4219972651775,1980.5257848453116,10255.849650818614,4.949977479762592e-16,29.91690777797958,10661.153990758141,8.41004569689673,431.5707716422363,4533.6460226582585
249,403.69750621037946,355.8492924960563,2719.0965449538307,2.1715216845140515e-16,2.2174012350598757,1946.928740356877,26.683627684838438,133.1253462326878,313.0998445530808
250,24.551799760861293,12926.705065209017,12990.688344626089,6.129935424020079e-16,89.1653417899883,11980.14547417876,268.85233012047297,603.1323900051605,4741.632737956428
251,375.27308708498464,3160.6190666178663,14442.344757061557,6.452826612154452e-16,42.37415009981132,8556.097027759664,46.62461531426414,633.7791659101674,1876.6364719315388
252,21.219311781014348,14141.90218174276,11264.281853831848,5.469688082017528e-16,107.27693945702663,12256.173304590586,0.7182020370199595,565.6459451461984,4732.2933108656935
253,27.2751972934733,13354.957768465303,12779.324152821617,6.350399478023237e-16,104.25090550929825,13379.987485410165,244.08628287093555,616.0489870520564,5055.729241014852
254,38.41545712831532,11953.3022303394,14298.054055720198,6.663538495014824e-16,96.15799500013551,15930.894005780208,273.548076596514,694.1316974462119,6184.323396714314
255,508.0738111189888,1463.3945849148365,9125.316723884845,5.736777313242667e-16,17.82703452720994,6518.306764526818,176.85154692075554,399.95100734071116,1091.541118329238
256,15.754243974566167,8424.924914868685,7822.419357480043,3.7926001643694566e-16,61.228562758641054,9308.08916072912,158.79819852975777,378.64115499277125,3725.164695245247
257,57.08751410863549,6485.499200162288,10031.63742970692,6.247889430749716e-16,51.69932974028555,8197.708410928039,85.16323582292536,448.6046496874639,3448.38678746528
258,1864.345596200736,1803.4388416006873,14555.312374803396,6.3149469665199235e-16,12.630183757456667,7148.709768810103,286.79325899645625,634.5952581513203,1138.2077001579653
259,1463.684108333404,1761.486449176604,13659.592683421035,5.972089680394095e-16,24.895881867629836,8864.473809925646,-1.4549584171277274e-06,575.3876940281189,925.8445936463121
260,55.082319168808766,12174.316950892886,15408.424862750757,6.637571706179808e-16,85.39393162527043,16792.468925040626,99.39968536737783,725.9076951235342,6504.246829273072
261,15.437460617525756,10768.0443563937,8316.17336072185,3.863075667403332e-16,78.22399770669378,9882.424740438897,174.1700542358334,409.2190276645219,3974.502473710152
262,17.947133813643898,21482.110479576797,12784.715362048843,5.812168004025401e-16,92.82698977261185,12988.73861825076,296.85870546131173,620.497864785965,5897.36237683893
263,79.73822935276918,6777.139312384624,10443.815287659592,4.851767280664489e-16,54.76889247569596,10240.672171351742,169.17927020073108,485.923233182054,3220.001487317291
264,34.389994484374746,8285.354351739747,10623.859604587666,5.598754298988621e-16,63.536350811452955,9710.283696082553,202.35438265793425,485.5454775401654,3620.971375632563
265,3286.2865397064097,1365.2470301320586,14933.005231257208,6.336220475516134e-16,7.68454939435849,7175.974537063729,294.5925529104272,652.3731809698822,1131.1092602529316
266,29.56589403029969,21649.642933661526,16566.830486917668,5.671653922502743e-16,155.82438815554355,20149.715267876953,346.45369331767677,801.9810981585723,8150.867004637745
267,462.3890166652295,4336.629296462444,14470.606243784405,6.479586624461416e-16,47.54088741711582,13196.360913297622,2.0854685959648122e-07,642.1965542530895,3517.058570281818
268,19.446023053886467,15580.971157764856,11082.576203381223,4.565660255399107e-16,97.83777929193947,13247.42165398062,240.04088194623256,546.302430880429,5302.166917262402
269,50.68375505386143,10081.486757996327,14044.270160562668,6.525804652872925e-16,72.45050034682578,13973.397141558435,3.9677500654768965,658.0531221804019,6204.752570575499
270,2331.8306284042574,1765.8851868342167,14452.204815411145,6.654624786518318e-16,21.805595091354093,9393.926750740413,-3.911565094654179e-06,632.6506862870954,1061.7399201346016
271,47.97528447625696,8289.981621056737,11795.261001858198,4.856570064275373e-16,73.76884753133864,10572.526778813772,244.61317526951768,523.227694823275,4092.619189221869
272,725.0468541521432,1434.1784726947983,9822.019064754282,4.839926553911282e-16,20.015059672895447,4783.978647608063,129.6060257741544,434.30817141718836,723.5224759417836
