day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
101,1978.4228483724899,53631.466290530916,121056.80353266564,0.0,359.02389735774193,98443.3146116967,0.0,160661.41682742245,2566.5164246397567,6064.690200644152,76524.15244058505,12.0
102,2668.806545271462,59370.344455733226,119382.63026424563,0.0,432.22131852531817,119417.48401828036,0.0,175858.9044861522,2507.2046286555087,6071.673947123125,72364.74682362431,11.0
103,670.966357348274,82112.55230524969,123075.88649358382,0.0,558.9913994112188,63913.298222046156,0.0,123716.72205368485,2649.0116475510367,6175.220876860214,52966.8769093979,12.0
104,5918.055382124713,38724.49445795017,114811.47657514727,0.0,453.45203362945887,63325.00561039415,0.0,91984.61278906712,2530.1318414076236,5741.766077799305,21975.733783778436,11.0
105,8333.517886139754,34303.50602192734,118825.65286041409,0.0,248.55808804893135,119539.88012267942,0.0,176028.447967825,2508.1986157246565,5778.618334953714,72364.28802186108,11.0
106,5001.144673335892,51299.660709392054,122070.370750341,0.0,360.8826979912289,121091.41745222242,0.0,179271.88639493848,2563.215720336314,6143.230101314676,73686.08474510149,10.75
107,6038.693889736893,37156.30176459159,119948.16082291598,0.0,273.8899108401158,120629.21935764134,0.0,177662.87174086997,2531.0591296268217,5881.242225893252,72933.94279537695,11.0
108,6077.16250683722,49028.26563370061,130576.73156486449,0.0,414.3017891689632,99607.67062472315,0.0,164551.9407480659,2762.3116946357363,6462.940038033922,76880.5443549079,10.0
109,3500.720930255089,68010.1645272079,130697.96020300248,0.0,465.41829751219024,124794.139927198,0.0,187169.27954542957,2750.156930610618,6575.331813520829,76516.994113801,10.0
110,5211.829328533109,47946.553782431656,125764.96439779401,0.0,449.09968700858195,66282.31045215105,0.0,115053.76162773337,2697.7278145590362,6169.707970382636,48823.85500555918,10.0
111,4058.387307625755,52594.05634467362,124452.82060124046,0.0,489.9447244584625,67569.61080410164,0.0,94342.81850677023,2736.4774738926726,6226.138061692666,21621.25522967257,10.0
112,1066.2765452855667,87096.397329572,129016.87406038941,0.0,601.7546530430135,122946.0913517968,0.0,184373.54166960067,2708.3881781467753,6560.218530881369,75242.36328792274,10.0
113,7436.271377980707,44846.38379249169,131774.12359799494,0.0,452.7302640988304,126851.64455253472,0.0,190224.83773896663,2793.1040465888036,6459.651955636741,77627.37410473911,10.0
114,5121.670293739307,50734.3036317071,120591.8494674408,0.0,445.349842570318,115838.76912998065,0.0,173653.51440945713,2546.9651346911246,6055.2371801108175,70731.59109735068,10.0
115,2707.0038171930614,46531.65954474761,118080.2109292995,0.0,412.4319376611782,94767.31084919926,0.0,153003.80443564558,2500.0339682930235,5849.510947080729,72122.14327425172,11.25
116,360.034151144042,91126.24091920654,124177.16753884651,0.0,470.7291796799841,124806.53156661501,0.0,178938.2501932091,2606.025557512038,6437.778115305225,74663.34388235808,12.25
117,1752.6303500830975,47474.897760900145,123255.36852403659,0.0,432.05679659404683,64425.279695432015,0.0,124782.02065770776,2625.2132734377096,5942.940362237626,53078.31935494265,12.0
118,7216.218610407961,28507.741564919805,116918.28231770369,0.0,332.4812911765666,64799.015580556836,0.0,94155.75906647892,2589.2351602569893,5456.852531770389,22406.40198442203,11.0
119,1408.0134244975052,65010.12163579923,127576.666142374,0.0,501.85621475372255,128858.1577585071,0.0,184771.206119465,2689.793565714487,6460.064012634109,77030.67888478929,12.25
120,567.507933537707,76051.77308512258,117026.9172850317,0.0,426.3366458749196,117017.22148367504,0.0,167301.82883749044,2458.247694245755,6002.906552922081,70135.81354070886,12.75
121,426.9220738864577,82344.56121006113,116611.35227579986,0.0,468.45095314850295,116490.22904722854,0.0,166523.9925566786,2448.4904300099556,6016.245368834534,69699.81832399586,12.5
122,19986.419490743923,7799.49975563654,104369.78906350602,0.0,41.08881634154766,39817.25528214428,17716.86191565932,88296.69085679494,2286.581329678543,4750.036224677757,21054.324680231297,5.0
123,833.1381643396205,74885.74707342176,116300.2334008617,0.0,481.15887647977445,116905.55363060375,0.0,171221.57638590428,2443.935930224225,5948.802709969669,70059.08447070654,11.25
124,8498.593445097471,25985.916896767678,112102.44525551921,0.0,392.6185018729602,59546.62333853121,0.0,103476.07998351217,2421.6740455747713,5366.473507466957,43870.77980069499,10.0
125,5000.138882354319,36912.72418422011,107434.01588465509,0.0,383.3600042819637,59213.382575044576,0.0,85156.13348022192,2367.2141199386206,5355.013041404374,20049.98764958575,10.75
126,24648.95850907473,7074.967684665337,101093.24599117038,0.0,44.31318360455843,48421.50159698821,14099.850363904148,91569.01908403567,2212.2843168255818,4332.326979977901,20622.969651459323,5.0
127,2332.7894243776177,56175.78605111541,114944.26608663943,0.0,411.37397243253497,114223.07494195332,0.0,169145.8856467896,2423.2392452636295,5795.623526367249,68977.92782992823,10.75
128,2261.4316308453804,65590.90871302733,116819.63446805057,0.0,500.0659120096315,111896.36913879406,0.0,167751.97842477466,2463.507062952049,5874.498445378588,67837.80582314989,10.0
129,1750.0679626456151,61625.8973188224,118742.69921635155,0.0,411.9773554937382,90551.5710408642,0.0,149529.46713546425,2510.8848666047334,5933.360635200176,69092.41108733612,10.0
130,688.4477227877636,80683.70048192311,115447.43998686023,0.0,493.4613796255965,111609.84619701032,0.0,166676.38380133407,2420.1878560958503,5892.785063675247,67575.66372017525,10.25
131,377.28074942221537,88241.25127680477,116215.27992557027,0.0,488.5747716131448,61043.60884037879,0.0,112145.04054767283,2562.4727680722203,5897.243810424105,48428.893177978774,11.0
132,18866.382803403252,8255.571436133549,99955.25311072211,0.0,65.69818504408542,22532.23107716943,23166.315374223002,39733.92828202277,2186.607795901632,4645.692873528834,6465.7618584776865,2.25
133,9988.306224463759,27261.370876557383,114474.33341983038,0.0,321.52683132822705,110704.32815047904,0.0,165956.3332186285,2433.1173644480505,5409.923434693223,67137.45622929207,10.0
134,1046.7821940703236,61291.210392093046,113828.83042667333,0.0,403.30583984585587,115000.4713921876,0.0,164933.44032267787,2400.459594082157,5720.096303787716,68195.23874094142,12.25
