day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
157,44.2421799681999,9204.512067841684,13699.973793487394,3.966818732077512e-16,52.03590144290712,12.125154858540187,9.556914838595102,28.336924476686413,217.10096999807803,2.0086448944429414,3.1835965416876,50,2018-06-07
158,541.5805283789861,1055.3380301316452,6149.382674702824,4.295316622893499e-16,12.054944471321809,1312.820132121985,978.005819099514,3037.0349871862027,6.711169090749536e-07,205.79860991169014,324.1700334039279,50,2018-06-08
159,59.59460050249063,13062.080769859796,19093.525133215393,3.8746005099269697e-16,79.43602670335673,6684.859238721479,6.355400199872481e-07,14542.345801147154,304.6512494250355,722.82975090896,5514.228983871429,50,2018-06-09
160,1185.9611167430398,1051.613990779827,9305.00768964152,4.665923694152286e-16,4.232424463746465,2615.158524586996,6.100102045704587e-07,3957.4628579516457,-7.217432033542082e-06,248.1110506679234,941.007444940171,50,2018-06-10
161,24.154889829498387,15572.735230601415,13966.371686035034,4.882772880522679e-16,116.04261523662369,10257.710535837086,2.899476692756253e-07,14574.806957755836,173.96566574315187,559.4865298135986,6055.904953992585,50,2018-06-11
162,27.310272364696324,7347.298811375369,8208.215090962056,4.795871400464889e-16,61.21510321882847,3434.2291342141725,2.6890980421328186e-07,4879.582688312743,132.39186494131005,189.56006756786783,2022.020945635752,50,2018-06-12
163,573.8704045514119,1199.340510805893,7031.279826059153,4.722105332862902e-16,11.726392935220877,680.0481822088719,500.9523978056116,1555.024337377377,-2.0651512259064474e-06,103.48882886216522,198.39099084638443,50,2018-06-13
164,899.8998691622352,842.3506837213016,6895.481283145617,3.179500097420498e-16,6.879312051726553,4246.100847898157,2.475804819580617e-07,6836.2346213075825,-2.1806738222949206e-06,278.7608437131357,3160.6957261013804,50,2018-06-14
165,405.673850128731,1559.433195292502,7165.400736736597,3.956710573206119e-16,18.308166576144792,2350.250491234876,1276.9357836732217,5135.86163029609,18.661431475901942,271.79065210144415,767.4264500628238,50,2018-06-15
166,28.739047402251153,13833.400744435414,15755.516774621712,4.351070026556414e-16,98.61510900283393,4621.628399641152,4.603872162951508e-07,9712.573507864523,24.26126810342999,410.1606773306872,4323.311494808021,50,2018-06-16
167,28.4059865798846,15487.754685191429,19224.04258095138,3.965398787280424e-16,95.62694008029186,8343.096929683612,5.612877465177899e-07,17526.152599049474,309.5382389486183,739.2234464900433,7199.622152777285,50,2018-06-17
168,34.306915460570785,4913.324825931005,7523.54532054066,4.924647064980427e-16,38.691879821945314,1590.7683045193016,1181.889801680132,3664.8724566671476,-2.322406905477692e-06,248.7634779784256,396.0839207706133,50,2018-06-18
169,1287.2720550036938,951.0331591240059,7813.012828018149,5.787815535519416e-16,11.644954623069458,1852.3231950953482,1376.2167275381692,4267.451260794308,2.296552281097568,290.32091818042477,457.5603947779495,50,2018-06-19
170,31.651561269809733,7170.490977468744,10514.541621287675,5.016019233731656e-16,43.73123777011145,7947.311620264934,2.1335640023916922e-07,11622.355271121092,166.12047297859638,399.68477589985895,4720.701370543848,50,2018-06-20
171,980.4443186460422,593.8017595080728,5344.364650169039,3.360348551462033e-16,4.799467671801657,1211.887302002642,2.7498319305488216e-07,1953.0967743387455,-1.9566062699709617e-06,75.1326698458545,911.1458367499664,50,2018-06-21
172,28.26794513098519,2379.6665794299847,5028.405870371732,4.1392246032648934e-16,23.381185398872375,3672.4683303950897,1.837568049491282e-07,5361.277227593121,8.96426844576581e-07,197.2577955076644,2141.7266479193527,50,2018-06-22
173,14.131188351925907,5986.223631510739,6237.71259620619,4.0130088133898486e-16,44.400791585626784,9.043091106955641,4.6555744248263597e-07,19.456868231240637,-1.2305542084050103e-06,0.8222143967646587,8.830166428277497,50,2018-06-23
