day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
51,617.4271903339729,5042.932259942354,11899.948206429593,6.726561360642914e-16,19.234129538992963,19046.187865898744,250.3290592947956,784.2117075517391,7845.963655832596,16.0,2018-02-21
52,1308.79772708301,2591.986312341478,11534.145802927154,6.398838522858675e-16,16.585676259189203,16612.093127947,246.08239198968505,711.7955508294026,7690.275075129063,16.0,2018-02-22
53,788.943826546261,4702.583526906972,12011.263494621437,5.907796473835262e-16,19.59178648396836,19195.421964802783,253.04330168208935,787.741907474462,7928.006221176548,16.0,2018-02-23
54,1171.7420494529126,2585.276156506615,11031.355818258053,4.716737945427224e-16,18.898127944673618,14697.195481449942,233.14546688257167,671.8467323998125,6252.039405456756,14.0,2018-02-24
55,9750.273319233509,227.64215250320373,11667.850270633504,4.958081214004184e-16,2.969920061197362e-10,6121.371844997876,11.055415991397348,551.1739428243826,1012.3315817378493,4.0,2018-02-25
56,4772.19559953294,670.3245735499386,11709.084175195145,6.694638487656188e-16,2.192309850970632,11013.473213331754,11.032868981078938,696.0966810781529,1266.2747732111,3.0,2018-02-26
57,762.0404544611222,4555.80466143467,12107.41546774944,5.234451885860601e-16,21.031200754830483,18158.68116558266,257.5448802739148,784.606654310516,7038.14800936141,17.0,2018-02-27
58,9198.648057423876,515.5933007681867,11525.211027136787,6.310697753932856e-16,3.9999658790976337e-10,11000.683012624711,32.58124119249627,624.7317051048467,1343.559712547913,3.5,2018-02-28
59,3731.195928160516,513.8341089483433,8555.795421217697,5.327407739194574e-16,2.270892794241924,7936.2074203670045,23.144714663647875,546.3152925614522,970.145995100874,3.0,2018-03-01
60,3017.8794658210336,537.5793205951562,7774.319857420752,4.538772966684636e-16,3.378972035839651,10765.452321494697,112.98192784200167,498.10580354309184,3023.941742240429,19.5,2018-03-02
61,3688.977028310111,352.76580971041864,9591.522559036426,5.6654655084298735e-16,0.6866044151324335,10233.605667679129,208.80660026982045,531.5743300769619,3870.2657516079366,19.0,2018-03-03
62,1314.4299127900103,3560.1864249162363,11036.831581873592,4.313036011333117e-16,20.671951950106283,11580.349481189167,240.31250390556195,719.2859836385095,2589.9097487167974,15.0,2018-03-04
63,167.81808286093525,6905.214453202998,11974.938793068022,4.963131482265189e-16,34.719907887468906,22023.025399938946,248.2033493460431,788.6421470743902,9432.186212097085,13.5,2018-03-05
64,3283.525009093809,380.05477209110677,6712.800202096713,3.8684188023444606e-16,0.22514115779091437,7061.526397021939,17.94622185136468,413.4361277404567,845.8556714146777,3.5,2018-03-06
65,2611.456797470252,744.9780361212669,8854.634429714984,6.463104927619182e-16,2.780239566101892,8419.35375200374,31.058338837336166,556.3611466306569,1017.2751412611985,0.75,2018-03-07
66,75.74838539293906,5863.738118022487,9667.799300412937,4.0193310299644727e-16,46.13948378772712,16761.147899686184,202.21821300689754,635.2698535475746,8050.190928536292,12.5,2018-03-08
67,181.6473183307502,5991.040578378704,12188.26626093398,4.63336511648573e-16,41.598615777257194,22814.527041057365,254.4395647400383,795.5045193892208,9796.289201258065,13.25,2018-03-09
68,1986.9007224612676,201.19980683636297,4894.823042003833,4.227287840247136e-16,1.2472787230702267,4192.480905638995,-6.866712205737713e-05,319.4645526759907,844.2642637438553,22.5,2018-03-10
69,245.68788543069832,5743.827087192147,11407.871789267161,5.415518997751433e-16,47.8222962465306,11475.352249613687,249.02010417774784,753.5055474294235,2648.50501537756,18.25,2018-03-11
70,807.959164895704,1832.7124569211333,11456.392548998869,6.741078415040031e-16,37.06972234968536,11918.022662316343,243.70897456199037,710.4144566749319,2101.732074270199,22.5,2018-03-12
71,442.23668530738956,4662.379892475159,11906.387738641362,5.495462543274268e-16,40.50823255337477,18914.39494897599,253.43205636104696,771.0147696052147,7781.044565427558,16.25,2018-03-13
72,2022.4355459422493,1478.965753293122,11135.767223988054,5.784245294626871e-16,9.976565620295995,14382.638300828181,246.54136430094545,689.0918424338917,3652.6040915448557,19.75,2018-03-14
73,918.8540414773552,2563.3775366501045,12165.041145766963,5.365586540790798e-16,28.716280512737782,17558.037100827984,260.273686017999,740.2624949580737,8099.220681456357,16.0,2018-03-15
74,497.9087518433791,4678.980291005117,11786.022125253367,6.211912671917487e-16,31.82190175685223,20580.21806287276,246.20676420520533,754.5931073905036,8702.95032347493,14.75,2018-03-16
75,5742.442246178654,373.56185845746904,10346.590604991934,6.23720019700993e-16,0.3231691980748704,6641.330306577766,14.112173640225674,582.7882146834337,880.3256327397226,3.0,2018-03-17
76,5018.563309425655,410.77911291611383,11274.140147036147,6.163373827847776e-16,1.356480275022944,6145.177025987189,3.781035366046126e-08,613.3804956642314,1221.967340993947,23.75,2018-03-18
77,282.570261584918,4904.621691353438,11800.205420861828,4.695094015766341e-16,39.038645681890614,21286.913240829505,246.4813607832757,765.4694745484092,9251.41407495051,14.0,2018-03-19
78,927.7014488608866,1182.5837232620277,6839.142697112968,3.993208799216777e-16,17.624006657513963,11572.27593846804,146.21839449124386,448.4868507539994,4648.399752671598,16.5,2018-03-20
79,257.12095108283694,2375.290229374719,8089.007275034199,5.151164084801463e-16,30.903227201437446,11291.563589098861,178.15528688999126,528.6177103387162,3197.0325516827343,19.25,2018-03-21
80,1061.863938851541,3228.958759828001,11205.739338342582,5.34810789773672e-16,19.959803180171352,14828.991821575955,241.8728411297428,697.0625324978176,5623.062943586101,17.75,2018-03-22
81,661.3297981925617,4224.356704618689,11802.652861265024,3.879000545849607e-16,30.454629051331747,22882.876147642954,245.62758245429205,763.3932044673263,9458.513168671358,11.75,2018-03-23
82,1121.409830214634,2556.5924332375366,11844.25974874954,4.125761174529334e-16,15.092576026282828,15753.169075461912,251.18093194424816,719.7521214743153,6271.821107561883,14.75,2018-03-24
83,8149.34761959235,263.25392878881195,11374.525427439878,4.569996802718295e-16,3.398456262466375e-10,5892.033525122391,18.66813745067728,605.7816203745631,962.8084135362027,3.75,2018-03-25
84,5251.271290542318,522.1388346529083,10722.609315840176,4.550831178849767e-16,0.6216272198498176,10266.61347756228,16.439478270498228,571.0499101878428,1202.8644472664894,3.5,2018-03-26
85,162.34071991179505,7086.568087818369,12031.73372644532,4.195089156683269e-16,45.601216030757676,22881.24647721239,248.6292299703881,802.6698633826609,9419.128244099149,11.5,2018-03-27
86,3456.1322474999897,894.5604254648365,11243.713924623182,4.92684681423501e-16,4.567173888633034,10658.84942280381,21.175869722904455,696.7032884016967,1236.9697531683191,3.0,2018-03-28
87,20.077106756404714,13285.288662501525,11946.77174757371,4.066521428632239e-16,65.74113014997191,18823.793549421316,274.12674751788626,811.5232240396035,9334.853660254652,13.75,2018-03-29
88,22.061770464338213,13228.975316752823,11890.02237412032,3.992043278927524e-16,86.82655863336005,21804.54182013032,270.86322918336185,810.3079907006073,9314.78555601293,13.5,2018-03-30
89,81.61088275653097,6699.119554284982,11511.323144887116,4.812719970476692e-16,41.647042108190746,14386.052008677334,243.15341964618855,754.3992254189259,5847.616992900822,16.0,2018-03-31
