day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
66,43364.08896916378,15819.913252932569,175437.8159231009,0.0,107.28928880201657,68823.25610597129,51913.95425444692,160133.52712010735,3769.330266907629,10898.030804079972,20111.135345490697,1.0
67,64737.85776966235,12971.092386103099,176716.75986028108,0.0,59.386866404263756,77020.14764641902,52101.90978347321,169883.88555004538,3782.965231114953,10856.752302013127,21136.6096760092,1.25
68,32529.584402787008,20532.001831152655,187639.8597585196,0.0,226.33899045933725,81823.39377635784,23476.00498807741,211289.41422637965,4080.573181885798,11095.940766849364,87243.85806362638,16.0
69,36571.88573958372,27017.37114453998,184006.67015889165,0.0,349.7959306624296,129420.00271658151,0.0,190619.65191343657,4035.709771352992,10869.46016632523,46104.63222964364,12.5
70,46012.59462568742,13953.462514259127,175937.70448390598,0.0,104.36490601735015,94289.82586745406,51676.77294786744,188611.00032492558,3777.5689752564567,10129.926848724825,34612.90470906986,3.0
71,8067.087001001912,67887.77288950013,190981.0672184821,0.0,648.5187666032898,218118.77939199755,0.0,322863.99618303945,4037.6540533088605,11942.62220145699,134557.9137114312,13.25
72,30335.956464669234,33689.19267331935,185411.87309267884,0.0,322.96305871689117,226979.79442925059,0.0,339431.1655016556,3893.02511303931,11153.476789434453,139201.58027948102,9.0
73,20325.082413087748,31160.142914902935,189082.0072246104,0.0,331.29705772809297,190899.55700068764,0.0,304097.370828948,3981.4505414265154,11179.396463147788,147371.44592682092,11.5
74,11614.960616582122,64462.15890162131,189800.5268297401,0.0,485.7900941734611,240160.61366994638,0.0,347756.20711260475,3965.5606674942405,11940.826602038302,146612.55690780512,11.5
75,30782.26810362227,35417.56942797392,187348.84088750504,0.0,285.20270974731625,126932.17392922656,0.0,233412.20953018172,3968.5473586074213,11340.695687481622,100810.83455159594,10.0
76,133744.8259556277,3839.330280561787,175849.890587695,0.0,0.0,55073.3717971996,51438.70718397655,98291.80863273903,3748.2767356734394,8591.478969318656,17183.172625048697,2.75
77,10762.331073059946,68093.1975039066,190473.78602817183,0.0,525.7518015619722,243759.9721840268,0.0,354529.43081019836,3973.5429154860444,12198.43893736416,149170.39974249966,10.75
78,23551.880888472508,35390.154684680776,191744.12558324513,0.0,516.0725296179345,214397.29737222177,0.0,319951.56277906324,4062.9692252324944,11542.985564025385,132501.43367931832,13.5
79,4068.7977382092777,75724.46964252178,182022.22089293343,0.0,970.9567347347344,150501.31476747504,6401.0585427742435,260245.32228479802,3942.9736943786233,11389.98669961863,90162.73669048511,16.0
80,27421.718083084692,21559.084535016656,177103.36200824668,0.0,340.36646552708186,89525.93082048661,41704.79248374671,194374.21475700947,3835.6447990957445,10603.598240120788,46780.696534184695,4.0
81,7457.535579168984,78596.67440151949,189549.58639282765,0.0,526.22298054399,241820.79816982176,0.0,351182.15129577817,3947.650174810104,12212.435922675004,147576.7125273187,11.0
