day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shed
128,1854.48070823199,32452.902061188714,65066.72314874764,0.0,262.1566311128903,54543.32187016115,0.0,82466.48249526748,1239.4232492756162,2923.6328594202428,33247.50749780772,10.0
129,1450.8593653663304,31090.3546951306,66143.6168442055,0.0,228.97653137272692,44131.666457051644,0.0,73483.39283437598,1262.5093736756585,2949.0766809355678,33697.62860164935,10.0
130,174.20639143977843,48855.71328308617,65385.17564960626,0.0,284.1076192361635,57723.00958976473,0.0,85829.14205065381,1230.828499877576,3013.9203179552933,34686.13009866812,11.0
131,179.8370841612437,53912.015650364374,65641.82155830292,0.0,287.7593071770201,30898.357951523438,0.0,58508.74615814821,1350.3514719136917,3022.8782777235965,25054.41467228386,12.0
132,10517.910445296364,4637.330695980437,56131.27671385932,0.0,36.68461637780279,11275.718875817074,11720.142225215404,19843.649857238983,1106.233610898267,2350.145138721874,3259.063545646538,2.5
133,6661.253865198689,13622.72058741144,63750.02946474662,0.0,164.82841896907374,53845.17560862884,0.0,81408.90844681836,1221.3038715048283,2705.3703265442073,32825.40648956193,10.0
134,5115.95952724121,15733.613219387733,62682.15793190016,0.0,184.77414592714325,52060.93580156578,0.0,78938.30800911282,1204.0833911625539,2677.734038462733,31468.592567046726,9.75
135,968.5142380286583,37514.11768662827,64624.044032153324,0.0,240.0457539237027,54864.56387197401,0.0,82680.80069420075,1223.7980594480223,2935.9897512291454,33419.30502442672,10.25
136,474.5659537939079,37843.076733475005,64366.55324546862,0.0,239.56659786788572,45395.52823185289,0.0,74366.11472726731,1221.039297775573,2899.1083482088857,34479.567174978605,11.0
137,1240.9382748581781,28667.381221776694,64383.91084590746,0.0,221.23681226045895,58711.97110428722,0.0,83491.14095643895,1226.7438124486764,2858.4859790622154,34810.85780640722,13.0
138,2127.1334990397936,21564.537190598625,64912.16096280264,0.0,223.596480624089,30882.140690001863,0.0,58476.678742261225,1245.6266740128494,2796.554237902893,24933.18295628953,12.0
139,4203.393980415895,16674.962042518207,59229.7959016068,0.0,211.72617927619507,29531.78607223347,0.0,43005.226737648394,1177.706427180533,2570.945722834535,10078.266704342168,11.5
140,255.17716782291484,42119.89457464653,64076.07141501594,0.0,253.11802568027062,58123.03829626871,0.0,82651.39812522018,1214.0387122825393,2937.196035579483,34321.925011105835,13.0
141,7158.045081775899,14159.600254539702,64420.77705513316,0.0,175.5647851529155,54365.05919920005,0.0,82195.9799158425,1234.3962235722136,2715.9405929488494,32911.61052612494,10.0
142,16714.780105340382,6150.700982580265,62287.76660099428,0.0,63.63734763331819,18806.340335921523,12835.132651642529,41475.11389529956,1211.5000706425399,2713.7564115675,4790.806773492415,3.0
143,2053.6483963045216,18680.561846996912,63033.18830392682,0.0,193.51630492707062,46076.59580801946,0.0,73081.19186655874,1209.252604342053,2697.0934775778296,34423.44630638419,12.5
