day_of_year,savings,time_of_shift,date
163,0.8210021250562743,23.75,2018-06-13
164,0.8970137025699355,14.0,2018-06-14
165,0.41000332162229597,20.75,2018-06-15
166,0.9460198241736286,14.0,2018-06-16
167,1.0010003147038518,14.25,2018-06-17
168,0.9510072103199593,1.75,2018-06-18
169,0.8830003910616008,1.75,2018-06-19
170,0.9230013126000938,14.0,2018-06-20
171,0.9640002453495337,13.5,2018-06-21
172,0.8600093243560917,13.5,2018-06-22
173,0.9730002917992047,12.5,2018-06-23
174,0.9490057240333,20.75,2018-06-24
175,0.9350132334037322,14.0,2018-06-25
176,0.9400049922162642,14.0,2018-06-26
177,0.892001591510236,14.0,2018-06-27
178,0.9550002968512008,23.75,2018-06-28
179,0.9320025634468182,2.0,2018-06-29
180,0.869003301150854,13.75,2018-06-30
181,0.9370024597803015,14.25,2018-07-01
182,0.7560005595481292,14.0,2018-07-02
183,0.9010018836577116,14.0,2018-07-03
184,0.9430018809157957,14.0,2018-07-04
185,1.0400014284976977,22.5,2018-07-05
186,1.0190003789605073,22.25,2018-07-06
187,1.0190011705573363,22.5,2018-07-07
188,1.0100127638033725,2.0,2018-07-08
189,0.927004639366467,16.0,2018-07-09
190,0.5980042839930235,15.25,2018-07-10
191,0.989999974401675,22.25,2018-07-11
192,0.24500089820226986,22.25,2018-07-12
193,0.960000029695046,16.75,2018-07-13
194,0.9980001247066385,19.75,2018-07-14
195,0.9700014520550276,13.75,2018-07-15
196,0.9810004234313192,19.75,2018-07-16
197,0.9450212893990871,12.75,2018-07-17
198,0.9250110994930492,12.5,2018-07-18
199,0.8700003637004505,21.5,2018-07-19
200,0.8130097417661573,22.25,2018-07-20
201,1.0070130428157706,20.5,2018-07-21
202,0.9890075967890992,22.75,2018-07-22
203,0.9770002648847377,13.75,2018-07-23
204,0.9810138219703998,20.0,2018-07-24
205,0.31600035936763776,18.25,2018-07-25
206,0.8660001704127678,20.5,2018-07-26
207,0.5300022505132014,22.75,2018-07-27
208,0.9730006268004268,22.75,2018-07-28
209,0.9630185305789485,18.75,2018-07-29
210,0.9940003546162434,20.75,2018-07-30
211,1.0170011400543457,20.5,2018-07-31
212,0.982012173448291,23.75,2018-08-01
213,0.9760053047652911,20.75,2018-08-02
214,0.9990001101617408,23.25,2018-08-03
215,0.49400129434978546,14.25,2018-08-04
216,0.9560005973906318,14.25,2018-08-05
217,0.8300011039140136,22.25,2018-08-06
218,0.1569999352572935,20.5,2018-08-07
219,0.16700004186514536,16.0,2018-08-08
220,0.691000144166256,20.75,2018-08-09
221,0.13200010241559426,20.25,2018-08-10
222,0.23600013343281773,15.5,2018-08-11
223,0.13200001294828417,22.5,2018-08-12
224,0.23000075106246018,14.0,2018-08-13
225,0.9610000079387792,22.25,2018-08-14
226,0.9920007915239774,22.75,2018-08-15
227,0.9920036112813311,22.5,2018-08-16
228,0.9840021616800573,20.5,2018-08-17
229,0.9670216258238081,18.5,2018-08-18
230,0.9820009023014804,22.75,2018-08-19
231,0.4520000972818709,20.5,2018-08-20
232,0.7270022549592225,22.75,2018-08-21
233,0.947001209221195,22.75,2018-08-22
234,0.5600001147149342,15.0,2018-08-23
235,0.726001097884107,20.25,2018-08-24
236,0.48200189200090476,19.25,2018-08-25
237,0.9840146268842018,14.0,2018-08-26
238,0.5000000861848097,0.5,2018-08-27
239,0.49100003361859956,13.75,2018-08-28
240,0.5490000958358593,16.75,2018-08-29
241,0.5870048338923863,18.0,2018-08-30
242,0.9860030570494908,16.5,2018-08-31
243,0.9720006574592042,14.0,2018-09-01
244,0.8220121764449466,14.5,2018-09-02
245,0.6790004211779446,15.0,2018-09-03
246,0.4330034770681012,16.25,2018-09-04
247,0.5020001579500998,17.25,2018-09-05
248,0.6570014083279475,9.25,2018-09-06
249,0.15900099431651743,11.0,2018-09-07
250,0.9860006651517238,21.5,2018-09-08
251,0.9400002865949451,14.75,2018-09-09
252,0.7240002638216124,16.5,2018-09-10
253,0.9160088922472694,16.75,2018-09-11
254,0.8999999613676144,16.0,2018-09-12
255,0.5750018863496307,18.75,2018-09-13
256,0.5370003109472595,15.25,2018-09-14
257,0.9580036807720248,17.0,2018-09-15
258,0.9170032281294803,1.0,2018-09-16
259,0.9240005179303911,2.0,2018-09-17
260,0.9430028702984324,16.25,2018-09-18
261,0.6040019179585886,15.25,2018-09-19
262,0.9620007769373087,15.25,2018-09-20
263,0.7080051612040001,18.25,2018-09-21
264,0.979015846329008,23.75,2018-09-22
265,0.9810036037308812,0.5,2018-09-23
266,0.9920011474397038,14.5,2018-09-24
267,0.9920011837611739,19.5,2018-09-25
268,0.7590051166387727,15.0,2018-09-26
269,0.8950002455275731,16.0,2018-09-27
270,0.9440010010096669,1.25,2018-09-28
271,0.8160110333230439,15.5,2018-09-29
