day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
120,1521.851913843584,11839.3250686249,225.39704788047558,2741.73526834182,1790.8652801278868,31049.925332612023,812.0688694300464,1433.2025200542553,48870.16273551229,3285.6416925055837,12.75
121,716.5642624083823,18655.13438421023,89.07351047122253,4337.105421579788,1786.6149123304722,27512.28954164122,806.7859581419576,1427.6344752855787,48552.29612021538,3271.4404906912177,12.5
122,26738.423425432444,1044.8338671754082,3857.996912600132,193.13764249760584,1889.4968639003212,23108.307243788942,145.13371643834765,5526.825353593724,8688.805846853034,2060.93172261274,5.0
123,1915.0587317663421,12081.639713512232,199.82898146052653,2724.208953968974,1493.0070400021823,37820.50099148092,979.420721301059,1308.8401578213243,58917.00903557978,3315.996132145821,11.25
124,7988.623660290656,4978.307859062883,1152.2965500964312,1072.8448418089645,1510.5315141793328,36739.95977330141,1004.5109179542895,1410.4811395247377,60359.70686857676,3335.254966554034,10.0
125,6386.091562253431,6840.369148468289,821.7262164464698,1614.6816511414472,1506.5173693979355,38510.51181109995,972.802602756387,1302.9555993928109,58485.810263695435,3267.4447236536853,10.75
126,28048.19530339074,1028.9778693807598,3972.3304019907105,194.11885421358187,1816.9966401358488,23562.59848619292,141.91589213160728,5354.9481699472435,8496.530384465546,2004.1452204598386,5.0
127,3105.820117692222,8546.164990256224,314.15172023413885,1913.0261871931045,1486.511730307166,34778.64685102617,987.3455724952177,1322.4211894727916,59360.122057650195,3316.3717257727635,10.75
128,4745.810658217595,5683.6390826764155,622.7439187112486,1256.3704642157281,1496.3801187142838,38252.21729419187,1019.6568907672159,1431.1926389438079,61269.83327757425,3385.70485167766,10.0
129,3605.1954766991785,10821.117670952279,391.88691334617863,2503.2737026862274,1519.8491029586974,39056.97400074235,1039.99918881808,1459.5289408060657,62492.18426186251,3453.311535035609,10.0
130,2183.1797968425453,13451.131752973632,197.95372519315632,3078.929822237973,1478.3890096494067,36462.069690385695,1001.9681549110328,1344.9471218488354,60207.15958479073,3339.668869637443,10.25
131,56.075896056749826,51487.7669251645,4.339278305288,12055.103219893777,1550.2127193643194,36005.90803433461,994.7450962441632,1330.8642010341866,59822.45069374304,3354.406851693925,11.0
132,5011.298984366212,3760.883780834714,699.501386793896,880.1583378142723,1486.0062576049975,5516.2463590904545,28.171265363982545,2358.6747083763867,1641.6804212893944,1663.3704447701975,2.25
133,11479.907149266211,2084.9123781132575,1819.1132525967034,426.34758019195476,1478.343392166609,40071.92347721254,1008.6509708623055,1415.7921380103028,60608.66679910838,3349.476676865177,10.0
134,4278.456350824581,6408.850521516126,496.36896350052905,1381.8168954188418,1667.9878589698071,30224.376739146228,837.7051199431796,1285.0493330347929,50418.457631977195,3207.7502522510295,12.25
135,2545.3419322470836,12397.407416125312,259.1321933597156,2882.6902877625203,1476.0292976517717,37985.23376061345,1005.6696601287972,1409.6933420617283,60429.178808191245,3339.2773437898636,10.0
136,2382.3202545552795,10310.136585095686,234.39637965671267,2359.0582439005466,1470.091276695648,34395.26919628647,973.566380822934,1302.4918700772353,58548.0311785111,3283.0788083751677,11.0
