day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shift,date
58,14791.067330778957,486.0365114577627,1971.4111510757295,7.6461970597086,233.10839563706568,2793.478009158299,3.8230986018706083,233.00776217121705,229.5055596404543,702.9702591756304,0.75,2018-02-28
59,7520.498168204456,54.340645073323884,995.9052970224446,7.575640230625424,152.8239691764299,1042.6703073477174,2.47665165931696,220.71335941577738,149.07877793470033,198.2010065763998,2.25,2018-03-01
60,3984.6518109803205,66.26920522679254,555.3864042045244,10.093105651541313,209.5647405176122,2942.80422340267,27.2248235947505,1063.7601786895225,1669.806760322791,424.40249105913443,17.0,2018-03-02
61,8205.023034315685,434.92392839107333,1160.3717888263348,10.589880990379493,445.7600850765699,5741.849617843168,11.821262325019728,709.6040839482896,722.7265173392174,763.097603436849,19.0,2018-03-03
62,936.6886225267298,857.5772487416589,108.92127774693118,202.44767441043467,271.59134180837856,4922.281622308204,73.86003120127654,269.6336060483491,4459.659185377359,397.2032957252967,15.0,2018-03-04
63,14038.13978036928,457.81346040382164,1804.0694210453098,4.034458661664037,211.80837080142658,1285.2589710068373,3.265979635988536,352.3415340052666,191.0971734959762,305.7216932347316,2.0,2018-03-05
64,4244.079948451876,332.4541756128562,560.1231868623624,11.483305934674517,134.11751855303717,656.4206919187515,2.1219159767907083,228.917197429798,128.3573202230374,205.34920313513555,1.5,2018-03-06
65,2047.6281437539076,150.70889726224078,295.9867852599947,33.22462742238585,181.61734897192233,2133.564755579145,2.715475546991274,241.99675094561348,160.0138338634236,491.0709930039588,0.75,2018-03-07
66,34.974429395506135,2584.359132101576,5.230550548595296,612.9109335756042,228.4265846481443,2797.6401691453725,52.61775089839969,575.2041470645211,3188.745276069595,359.4520052942581,15.25,2018-03-08
67,4491.54096842753,160.7144566062666,600.8218924212186,30.280898173648673,197.4841126994857,1098.3878175267869,3.1973622550795073,284.94136173402376,187.45136988373756,249.21800235094216,2.25,2018-03-09
68,2247.986373743166,81.36334847561996,322.94857401372343,18.095138589724293,177.06461066457737,2225.7453246289674,1.4683409356247303,130.85506634735802,96.50735806417168,507.0074584542161,22.5,2018-03-10
69,5.57822426613587,3102.783273877011,3.2378605695716844,691.1762503417904,289.42161191517727,4435.759414299113,36.874725352507475,1440.8124307084042,2227.203935968471,566.0717720166423,18.75,2018-03-11
70,324.4624802045126,891.9413240582033,56.941110316757474,203.86939983492033,407.02703034392977,5883.436887990071,3.4571370125854903,308.0919080298716,201.6495253789649,1059.3734583654057,22.5,2018-03-12
71,1376.5412079258363,347.7289914570212,214.21093726905664,64.11336066429877,506.3809925845559,5149.353214779055,4.056692135475879,571.4644430333112,237.0707582648555,991.7666370088382,20.5,2018-03-13
72,6943.532767932221,40.18149264682837,1029.6507648113966,4.833151796490433,196.26384368030904,5707.476925872422,126.79912531647842,168.68645026263786,7652.118440506714,435.24284095910565,11.5,2018-03-14
73,2721.8838521135035,199.99137023793887,401.61617598418815,36.037236265976645,309.5323345874011,3815.2509874923803,68.80764172597756,752.1879823860185,4159.91701224444,468.92762273219574,16.0,2018-03-15
74,2252.27222677207,284.442636675466,329.72560125003935,51.55885100418879,279.5184765489615,3164.400342927805,80.13829487464172,292.55301727776157,4831.700062707045,430.33936907364836,14.75,2018-03-16
75,4815.934630817381,543.8144101760288,696.2034772356989,29.89099608019696,491.5510119462028,4730.846116121706,3.1174670592064704,502.0953817083905,183.42257043381764,1105.3964373569095,22.0,2018-03-17
76,5682.849208475606,143.38457796615165,818.1591949391878,31.0565761866595,286.16415647263483,4704.667866852345,3.428330424429133,305.5240997614746,200.49832479399248,911.6305329435476,23.75,2018-03-18
77,448.1794851415668,883.6363287871403,62.35952007342488,184.38004960820967,253.19729601817065,3575.9898644643567,95.80437264368611,171.56116393032892,5789.465170063298,429.9091086581993,14.0,2018-03-19
78,2399.3685798141482,64.8768397043331,337.7893443696211,10.335270274541472,161.93627332967367,2730.7623237110092,20.977528768422605,819.6585619512335,1352.9966071737854,343.8810268274665,17.0,2018-03-20
79,362.50184842315525,602.7250330960848,38.72308542715011,124.97858535516113,390.2827546799003,4675.861648243563,2.4157316360078442,389.07488888103126,144.09029125990006,868.3605979709795,21.5,2018-03-21
80,1495.1843254480677,876.8621013166479,196.1928812473288,190.28231717450856,383.80589267942554,5733.827784012224,24.214283588455988,1475.9272724658874,1467.409371483144,757.8430175158879,17.75,2018-03-22
81,558.2544799611377,1036.2709851821817,64.20886985236751,240.34411950312128,268.2568117144214,3057.6857118896783,76.46056690580066,279.1271300163261,4614.273376769988,410.97417097299723,14.75,2018-03-23
82,1492.9681187843296,635.8971216648649,204.16732695780647,142.53374929207004,297.64978889923236,5063.7817829449905,81.58828431430197,297.8463871628299,4918.670523584165,438.08555426499623,14.75,2018-03-24
83,10259.844471021837,477.88148616713704,1394.1802021806184,8.525045848589128,202.20642402836663,604.0331156222696,3.256759414249589,290.2346969570254,190.52116502465842,253.29942261955512,3.0,2018-03-25
84,10928.229617844023,469.57383055781304,1475.6147607116059,7.642251831181552,195.96239532075717,952.733898111823,3.2078585745715547,285.8767723323788,187.64355413124895,249.47311492396474,3.0,2018-03-26
85,49.989199514360976,2378.1622795272838,11.729310633398851,524.2811273073866,244.2673438634292,4108.047959993567,92.53114650644699,165.69963551794604,5592.426352747038,415.27755257020726,13.75,2018-03-27
86,2512.8961324834863,210.06763132236426,355.59275723985513,42.31797937405978,211.38689259067573,1311.9586943013267,3.450386835733287,307.49030926739505,201.8415445580442,268.34939277198305,3.0,2018-03-28
87,357.3966703593169,546.6962081610292,37.36549294632016,123.22056582240425,203.65619707875183,1536.453893364714,3.232638181848358,348.744581123586,188.98649128749193,302.3452319732574,1.75,2018-03-29
88,3.1673545731930696e-07,5531.25372546766,1.194241598450159,1244.5803302740067,242.7060220127436,3766.0772501655993,91.31331924662109,163.51881857763917,5534.473764819633,410.9741630515133,13.75,2018-03-30
89,5.982779372045439,5724.03696816558,0.4748279560468673,1390.079851208688,296.19203835239693,3597.0381626745184,64.00558965074966,699.6931509254698,3865.0267274723915,435.68604647944,16.0,2018-03-31
90,6.531269400339636e-07,5006.619841924837,0.7109273398745382,1210.0019772773817,274.5763456446557,4316.091419754062,59.713689057277705,654.7179621771737,3607.9823585298145,407.581965773665,15.5,2018-04-01
91,93.32094313104272,1943.867870986592,16.32889189947962,448.5427938789527,235.53742638925843,3688.687469396166,90.49307566437258,162.37668913018584,5466.122168616134,404.3753517737096,13.25,2018-04-02
92,4.753330694565869,3174.685098317329,4.484235816762404,748.9419188730361,258.2867627626107,4119.135752533477,74.07807928483926,271.73919744188345,4483.708298516738,397.5360225447574,14.25,2018-04-03
93,74.6513505740908,2681.7988558831303,6.011603368266248,647.0089840053988,278.7764408158196,3546.4813684848837,36.428450574520745,1437.398962582093,2199.1920483537665,558.5573847232636,16.5,2018-04-04
94,1033.2082434053075,390.85376001768657,168.60525484183066,92.27662059366472,250.1361695495676,4343.141756515096,2.8996351356036367,258.40865758484244,168.25994062297767,769.9797936816608,23.25,2018-04-05
95,669.4389975890356,569.884389422812,82.6734855576048,116.52200919832677,442.1083968524572,5360.012447942177,12.465947485585092,748.3033053636186,748.3117196125237,789.7245823254019,18.25,2018-04-06
96,26.849967197393255,4377.6648976949,3.5511290958753725,1046.4544579071746,277.2472055315361,4356.618015437635,35.16475048749488,1387.535207934826,2132.7655237813165,541.6861175995587,16.5,2018-04-07
97,280.53215418100217,2110.018360088252,30.28088544202236,472.3432325154216,192.96831015213422,6246.155811959017,127.48831139750445,171.65596853398756,7712.889408552506,427.45808382993437,12.75,2018-04-08
98,5.992328138744632e-07,4555.907197638523,1.2345772877110701,1040.3676200572436,252.90509326233106,2508.592816498209,72.83807860240101,267.19052852245187,4406.569175514601,390.6966666836315,14.5,2018-04-09
99,128.42936611655108,1453.8541155858684,11.41594470792687,328.0405172939925,217.23870879262213,3323.047046761557,83.26924059116301,149.4145680502847,5055.874101340142,374.0258063528815,13.75,2018-04-10
100,210.56081005126038,1357.3364858237742,31.32384452805404,308.75074458271956,234.79417089139682,3997.4246122112727,89.03509845030143,159.7605017209358,5379.449862438892,397.9634806058521,13.75,2018-04-11
101,317.69643834455684,1898.5131706864058,40.26617615502559,461.21393279567724,285.372658862973,4354.842149891784,37.49556614388266,1479.5048388871485,2267.9908127042104,576.031130177544,16.25,2018-04-12
102,60.3528319330528,2220.875288026152,9.649159941463353,521.3153401548996,252.54364238411983,3905.610687518788,72.45607813052241,265.789244941864,4387.284406220801,388.9868593597633,14.75,2018-04-13
